FID,CommonName,ScientificName,RecordDate,Easting_MGA,Northing_MGA,individualCount,coordinateUncertaintyInMeters,geodeticDatum,Data Resource Name,Location 1
40328,Delicate Skink,Lampropholis delicata,10/08/2013,149.142,-35.3576,1,10,GDA94,ACT Wildlife Atlas,"(-35.3576, 149.142)"
40329,Delicate Skink,Lampropholis delicata,10/03/2013,149.185,-35.1863,1,10,GDA94,ACT Wildlife Atlas,"(-35.1863, 149.185)"
40330,Delicate Skink,Lampropholis delicata,23/10/2013,149.173,-35.2849,1,10,GDA94,ACT Wildlife Atlas,"(-35.2849, 149.173)"
40331,Delicate Skink,Lampropholis delicata,22/10/2013,149.185,-35.1863,1,10,GDA94,ACT Wildlife Atlas,"(-35.1863, 149.185)"
40332,Delicate Skink,Lampropholis delicata,22/10/2013,149.145,-35.205,1,10,GDA94,ACT Wildlife Atlas,"(-35.205, 149.145)"
40333,Delicate Skink,Lampropholis delicata,11/08/2013,149.121,-35.2143,1,10,GDA94,ACT Wildlife Atlas,"(-35.2143, 149.121)"
40334,Delicate Skink,Lampropholis delicata,28/11/2012,149.145,-35.3617,1,10,GDA94,ACT Wildlife Atlas,"(-35.3617, 149.145)"
40335,Delicate Skink,Lampropholis delicata,18/10/2013,149.129,-35.2232,1,10,GDA94,ACT Wildlife Atlas,"(-35.2232, 149.129)"
40336,Delicate Skink,Lampropholis delicata,28/10/2013,149.129,-35.2232,1,10,GDA94,ACT Wildlife Atlas,"(-35.2232, 149.129)"
39924,Latham's Snipe,Gallinago hardwickii,17/10/1985,149.152,-35.309,2,50,GDA94,ACT Wildlife Atlas,"(-35.309, 149.152)"
39925,Latham's Snipe,Gallinago hardwickii,17/10/1985,149.153,-35.307,1,50,GDA94,ACT Wildlife Atlas,"(-35.307, 149.153)"
39926,Latham's Snipe,Gallinago hardwickii,18/10/1985,149.151,-35.3112,1,50,GDA94,ACT Wildlife Atlas,"(-35.3112, 149.151)"
39927,Latham's Snipe,Gallinago hardwickii,25/11/1985,149.155,-35.3071,1,50,GDA94,ACT Wildlife Atlas,"(-35.3071, 149.155)"
39928,Latham's Snipe,Gallinago hardwickii,25/11/1985,149.151,-35.3113,1,50,GDA94,ACT Wildlife Atlas,"(-35.3113, 149.151)"
39929,Latham's Snipe,Gallinago hardwickii,25/11/1985,149.153,-35.307,1,50,GDA94,ACT Wildlife Atlas,"(-35.307, 149.153)"
39930,Latham's Snipe,Gallinago hardwickii,20/01/1986,149.153,-35.3069,1,50,GDA94,ACT Wildlife Atlas,"(-35.3069, 149.153)"
39931,Latham's Snipe,Gallinago hardwickii,20/01/1986,149.152,-35.3086,1,50,GDA94,ACT Wildlife Atlas,"(-35.3086, 149.152)"
40053,Three-toed Skink,Hemiergis decresiensis,19/11/2012,149.124,-35.2279,1,10,GDA94,ACT Wildlife Atlas,"(-35.2279, 149.124)"
40054,Three-toed Skink,Hemiergis decresiensis,19/11/2012,149.124,-35.2279,1,10,GDA94,ACT Wildlife Atlas,"(-35.2279, 149.124)"
40055,Three-toed Skink,Hemiergis decresiensis,12/03/2012,149.124,-35.2279,1,10,GDA94,ACT Wildlife Atlas,"(-35.2279, 149.124)"
40056,Three-toed Skink,Hemiergis decresiensis,12/03/2012,149.124,-35.2279,1,10,GDA94,ACT Wildlife Atlas,"(-35.2279, 149.124)"
40057,Three-toed Skink,Hemiergis decresiensis,12/03/2012,149.124,-35.2279,1,10,GDA94,ACT Wildlife Atlas,"(-35.2279, 149.124)"
40058,Delicate Skink,Lampropholis delicata,29/10/2012,149.128,-35.2284,1,10,GDA94,ACT Wildlife Atlas,"(-35.2284, 149.128)"
40059,Delicate Skink,Lampropholis delicata,19/11/2012,149.128,-35.2284,1,10,GDA94,ACT Wildlife Atlas,"(-35.2284, 149.128)"
40337,Delicate Skink,Lampropholis delicata,31/10/2013,149.129,-35.2232,1,10,GDA94,ACT Wildlife Atlas,"(-35.2232, 149.129)"
40338,Delicate Skink,Lampropholis delicata,31/10/2013,149.171,-35.1874,1,10,GDA94,ACT Wildlife Atlas,"(-35.1874, 149.171)"
40339,Delicate Skink,Lampropholis delicata,31/10/2013,149.144,-35.206,1,10,GDA94,ACT Wildlife Atlas,"(-35.206, 149.144)"
40340,Delicate Skink,Lampropholis delicata,13/11/2013,149.191,-35.2065,1,10,GDA94,ACT Wildlife Atlas,"(-35.2065, 149.191)"
40341,Delicate Skink,Lampropholis delicata,22/11/2012,149.175,-35.1868,1,10,GDA94,ACT Wildlife Atlas,"(-35.1868, 149.175)"
40342,Delicate Skink,Lampropholis delicata,28/11/2012,149.145,-35.362,1,10,GDA94,ACT Wildlife Atlas,"(-35.362, 149.145)"
40343,Delicate Skink,Lampropholis delicata,12/03/2012,149.145,-35.362,1,10,GDA94,ACT Wildlife Atlas,"(-35.362, 149.145)"
40344,Delicate Skink,Lampropholis delicata,12/07/2012,149.175,-35.1868,1,10,GDA94,ACT Wildlife Atlas,"(-35.1868, 149.175)"
40345,Delicate Skink,Lampropholis delicata,10/03/2013,149.175,-35.1868,1,10,GDA94,ACT Wildlife Atlas,"(-35.1868, 149.175)"
40688,Dwarf Skink,Menetia greyii,23/10/2013,149.17,-35.2859,1,10,GDA94,ACT Wildlife Atlas,"(-35.2859, 149.17)"
40689,Dwarf Skink,Menetia greyii,13/11/2013,149.17,-35.2859,1,10,GDA94,ACT Wildlife Atlas,"(-35.2859, 149.17)"
40690,Dwarf Skink,Menetia greyii,14/11/2013,149.242,-35.4391,1,10,GDA94,ACT Wildlife Atlas,"(-35.4391, 149.242)"
