suburb,columnHeight,columnMaterial,outreach,lampType,latitude,longitude
AINSLIE,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.275486103179695, 149.14371327791514
BRADDON,10.5 metres,ALUMINIUM,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.272416585989916, 149.13280195054833
BRADDON,6.3 metres,GALVANISED STEEL,NONE,LIGHT EMITTING DIODE,-35.27018261506809, 149.1320671317428
CITY,,BRICK WALL,NONE,PHOTOLUMINESCENCE,-35.277891166717566, 149.13051627405045
O'CONNOR,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.26251310438402, 149.12067374541482
TURNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.26654820641162, 149.12461297052087
DOWNER,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.244048835568435, 149.14187241888968
REID,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.279811091531755, 149.14087864877624
BRADDON,9 metres,STEEL ORDINARY,3.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.266172144134195, 149.13253985392387
CAMPBELL,6.5 metres,STEEL ORDINARY,1.5,MERCURY VAPOUR,-35.292617847532426, 149.14814834244683
CITY,9 metres,STEEL ORDINARY,0.3,LIGHT EMITTING DIODE,-35.27997812734933, 149.13052469375114
TURNER,6.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.274248019178025, 149.12736176667974
DICKSON,5.2 metres,STAINLESS STEEL,,LIGHT EMITTING DIODE,-35.249591927266636, 149.13693344700587
ACTON,,,,LIGHT EMITTING DIODE,-35.291097309663286, 149.12636558416554
CITY,,BUS SHELTER,NONE,LIGHT EMITTING DIODE,-35.278026377221096, 149.13055876821667
CANBERRA CENTRAL (RURAL DIST.),6.5 metres,STEEL SPECIAL,0.15,COMPACT FLUORESCENT,-35.28158464107689, 149.08773020909007
AINSLIE,6.5 metres,CONCRETE COLUMN,0.6,COMPACT FLUORESCENT,-35.26865497180907, 149.14572182446776
TURNER,3.5 metres,CONCRETE COLUMN,NONE,COMPACT FLUORESCENT,-35.26627693839749, 149.1246806948433
CITY,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.27829597301438, 149.1244045557344
BRADDON,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.272406491767754, 149.13815015861948
CAMPBELL,12 metres,STEEL ORDINARY,4.5,SODIUM VAPOUR HIGH PRESSURE TW,-35.28974488641913, 149.1693544701298
CITY,,,NONE,,-35.279417001493925, 149.13252261471956
TURNER,10.5 metres,CONCRETE COLUMN,4.3,SODIUM VAPOUR HIGH PRESSURE,-35.272938770302765, 149.1300755370204
AINSLIE,9.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.274665939484116, 149.14410855942072
CITY,9 metres,GALVANISED STEEL,NONE,LIGHT EMITTING DIODE,-35.28087617054326, 149.12948983135996
CITY,,,NONE,,-35.279154881670465, 149.13271401358566
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.270718651936704, 149.14548252774796
CITY,10.5 metres,STEEL ORDINARY,3.7,METAL HALIDE,-35.280950604778624, 149.13426292588537
CITY,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.283792085758584, 149.13660259122372
TURNER,6.5 metres,STEEL ORDINARY,1.5,COMPACT FLUORESCENT,-35.27078065507613, 149.1291521813221
BRADDON,9 metres,STEEL ORDINARY,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.273690088928014, 149.14057068969254
O'CONNOR,9 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.25540428554843, 149.1205957748663
BRADDON,10 metres,WOODEN POLE,3.0,SODIUM VAPOUR HIGH PRESSURE TW,-35.267318010034664, 149.13837349213873
CITY,,BUS SHELTER,NONE,LIGHT EMITTING DIODE,-35.277826434336795, 149.13059111173735
